0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80
1,Anderson,1,1,2,2,3,3,3,3,3,5,5,5,7,7,9,13,12,14,14,16,17,21,20,24,25,27,25,25,26,27,29,28,29,26,25,31,31,27,27,28,28,27,32,29,29,30,31,30,30,23,23,22,27,24,24,23,22,23,28,29,25,25,24,30,30,34,29,34,34,34,916,915,922,925,924,924,923,921,925
2,Andrews,10,10,10,11,11,11,12,13,13,19,19,18,14,14,11,11,11,10,10,10,9,9,9,4,5,5,6,6,6,6,5,5,5,4,4,5,5,5,4,3,3,1,1,1,1,2,2,3,6,6,6,6,6,6,6,6,5,5,5,0,0,0,0,0,0,0,0,1,1,1,3,3,3,5,12,14,14,14,16
3,Angelina,14,14,14,15,15,14,14,14,13,16,17,15,15,12,16,19,19,20,23,23,23,32,35,36,35,36,36,36,60,67,74,81,74,81,70,86,86,88,100,108,108,84,99,98,112,116,119,119,119,119,99,107,109,111,111,111,120,105,105,105,110,110,110,72,116,116,144,144,144,120,142,163,162,176,190,190,149,184,195
4,Aransas,1,2,2,2,2,2,2,2,2,2,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,3,3,3,3,3,3,3,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,2,2,2,1,2,2,2,2,2,2,2,5,5
5,Archer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,2
6,Armstrong,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Atascosa,4,3,3,5,6,7,7,7,7,7,7,7,7,9,10,9,9,7,7,5,5,7,7,10,10,10,10,9,7,9,10,10,10,10,12,13,12,10,13,13,13,13,15,13,15,15,15,14,12,10,10,10,7,7,9,8,7,7,5,8,8,10,9,9,12,10,10,8,7,7,6,6,8,23,30,30,29,38,41
8,Austin,6,6,6,7,7,8,9,10,10,9,9,9,8,8,7,6,6,6,6,4,3,2,3,3,3,3,3,3,3,4,3,3,3,4,4,4,3,4,4,6,6,6,7,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
9,Bailey,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,3,3,3,3,3,3,6,6,8,9,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
10,Bandera,0,0,1,1,2,2,2,2,2,3,4,4,4,4,4,4,3,3,2,4,4,4,4,4,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,7,9,9,9,10,9
11,Bastrop,14,15,13,16,16,14,13,13,25,30,35,35,35,34,37,36,40,44,44,45,46,42,49,52,59,52,55,57,66,68,71,69,71,72,73,78,77,82,85,89,89,87,103,106,113,116,108,112,117,118,118,111,115,117,124,125,129,139,142,147,151,155,153,161,167,172,167,171,173,173,191,207,219,211,211,211,232,231,234
12,Baylor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1
13,Bee,0,1,1,1,2,2,2,3,3,3,5,5,5,5,5,4,5,5,3,3,3,3,3,4,2,2,2,2,2,2,1,1,1,2,2,2,2,1,1,1,1,1,0,1,2,2,2,3,3,3,3,3,3,3,3,3,4,4,3,10,14,14,14,16,18,19,23,23,23,23,23,22,22,17,15,17,17,15,14
14,Bell,53,55,57,66,66,76,76,76,73,76,81,83,65,57,60,69,77,85,89,89,89,97,104,107,92,96,97,81,85,84,87,84,87,86,82,76,83,85,90,96,96,95,107,114,129,126,130,130,130,115,142,148,151,154,159,168,181,201,213,210,224,224,213,231,264,279,323,354,378,363,366,373,421,455,503,507,480,517,557
15,Bexar,399,431,469,507,545,588,623,631,624,677,685,656,678,700,665,691,726,741,655,657,680,657,672,642,644,704,781,809,802,791,841,824,841,869,867,835,835,867,911,987,987,959,998,1052,1059,1062,1064,1085,1074,1081,1074,1087,1130,1144,1275,1034,1019,999,1009,1017,1104,1135,1141,1133,1260,1350,1487,1657,1774,2018,2005,2439,2687,2977,3343,3474,3978,4232,4392
16,Blanco,3,3,3,3,3,3,3,3,3,3,4,2,2,3,1,2,4,4,4,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,2,2,2,2,2,2,2,3,3,4,4,4,4,4,4,4,4,4,5,5,4,3,3,3,3,3,4,5,6,6,6,14,16,19
17,Borden,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Bosque,0,0,0,0,0,0,0,0,1,1,1,1,1,1,3,3,3,3,3,4,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,3,3,3,3,3,6,6,6,6
19,Bowie,15,18,21,26,27,29,28,24,29,37,44,42,43,46,50,50,47,44,43,42,42,43,39,32,30,28,27,27,25,19,19,19,19,17,16,18,20,57,56,62,64,62,60,99,101,79,77,76,76,66,73,75,76,76,141,143,144,131,138,161,171,197,197,216,216,195,197,195,143,133,134,123,118,122,115,90,90,86,82
20,Brazoria,152,157,157,166,172,174,186,185,181,183,184,191,141,142,139,142,169,160,171,199,196,202,207,209,232,257,262,268,268,260,262,280,262,309,307,315,315,330,327,337,344,375,386,377,386,394,396,406,396,384,387,390,405,411,424,408,400,410,417,424,446,446,412,168,167,173,190,0,0,0,603,621,641,676,713,771,803,1035,1049
21,Brazos,77,77,83,81,78,93,95,96,95,90,93,95,103,99,97,97,96,84,88,88,82,80,84,87,90,71,77,77,78,84,96,106,96,127,133,138,147,140,143,150,156,160,168,158,174,184,194,246,248,247,242,253,261,268,275,281,285,284,298,312,345,385,406,384,413,387,413,424,483,482,319,362,493,507,558,599,611,595,615
22,Brewster,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,10,12,17,21,23,23,23,38,44,60
